2026-01-27 10:14:01 | extract | INFO | Starting extraction for 19 movies...
2026-01-27 10:14:01 | extract | INFO | Fetching movie ID: 0
2026-01-27 10:14:01 | extract | INFO | Attempt 1 of 3 for movie ID 0
2026-01-27 10:14:02 | extract | WARNING | Attempt 1 failed for movie ID 0: 404 Client Error: Not Found for url: https://api.themoviedb.org/3/movie/0?api_key=d703444a0cdc339616bf4ed9c0609a3b
2026-01-27 10:14:02 | extract | INFO | Retrying in 1.0 seconds...
2026-01-27 10:14:03 | extract | INFO | Attempt 2 of 3 for movie ID 0
2026-01-27 10:14:04 | extract | WARNING | Attempt 2 failed for movie ID 0: 404 Client Error: Not Found for url: https://api.themoviedb.org/3/movie/0?api_key=d703444a0cdc339616bf4ed9c0609a3b
2026-01-27 10:14:04 | extract | INFO | Retrying in 2.0 seconds...
2026-01-27 10:14:06 | extract | INFO | Attempt 3 of 3 for movie ID 0
2026-01-27 10:14:07 | extract | WARNING | Attempt 3 failed for movie ID 0: 404 Client Error: Not Found for url: https://api.themoviedb.org/3/movie/0?api_key=d703444a0cdc339616bf4ed9c0609a3b
2026-01-27 10:14:07 | extract | WARNING | Failed to fetch movie ID 0 after all retries
2026-01-27 10:14:07 | extract | INFO | Fetching movie ID: 299534
2026-01-27 10:14:07 | extract | INFO | Attempt 1 of 3 for movie ID 299534
2026-01-27 10:14:08 | extract | INFO | Successfully fetched: Avengers: Endgame
2026-01-27 10:14:08 | extract | INFO | Attempt 1 of 3 for movie ID 299534
2026-01-27 10:14:09 | extract | INFO | Fetching movie ID: 19995
2026-01-27 10:14:09 | extract | INFO | Attempt 1 of 3 for movie ID 19995
2026-01-27 10:14:10 | extract | INFO | Successfully fetched: Avatar
2026-01-27 10:14:10 | extract | INFO | Attempt 1 of 3 for movie ID 19995
2026-01-27 10:14:12 | extract | INFO | Fetching movie ID: 140607
2026-01-27 10:14:12 | extract | INFO | Attempt 1 of 3 for movie ID 140607
2026-01-27 10:14:13 | extract | INFO | Successfully fetched: Star Wars: The Force Awakens
2026-01-27 10:14:13 | extract | INFO | Attempt 1 of 3 for movie ID 140607
2026-01-27 10:14:14 | extract | INFO | Fetching movie ID: 299536
2026-01-27 10:14:14 | extract | INFO | Attempt 1 of 3 for movie ID 299536
2026-01-27 10:14:15 | extract | INFO | Successfully fetched: Avengers: Infinity War
2026-01-27 10:14:15 | extract | INFO | Attempt 1 of 3 for movie ID 299536
2026-01-27 10:14:16 | extract | INFO | Fetching movie ID: 597
2026-01-27 10:14:16 | extract | INFO | Attempt 1 of 3 for movie ID 597
2026-01-27 10:14:17 | extract | INFO | Successfully fetched: Titanic
2026-01-27 10:14:17 | extract | INFO | Attempt 1 of 3 for movie ID 597
2026-01-27 10:14:18 | extract | INFO | Fetching movie ID: 135397
2026-01-27 10:14:18 | extract | INFO | Attempt 1 of 3 for movie ID 135397
2026-01-27 10:14:19 | extract | INFO | Successfully fetched: Jurassic World
2026-01-27 10:14:19 | extract | INFO | Attempt 1 of 3 for movie ID 135397
2026-01-27 10:14:20 | extract | INFO | Fetching movie ID: 420818
2026-01-27 10:14:20 | extract | INFO | Attempt 1 of 3 for movie ID 420818
2026-01-27 10:14:21 | extract | INFO | Successfully fetched: The Lion King
2026-01-27 10:14:21 | extract | INFO | Attempt 1 of 3 for movie ID 420818
2026-01-27 10:14:23 | extract | INFO | Fetching movie ID: 24428
2026-01-27 10:14:23 | extract | INFO | Attempt 1 of 3 for movie ID 24428
2026-01-27 10:14:24 | extract | INFO | Successfully fetched: The Avengers
2026-01-27 10:14:24 | extract | INFO | Attempt 1 of 3 for movie ID 24428
2026-01-27 10:14:25 | extract | INFO | Fetching movie ID: 168259
2026-01-27 10:14:25 | extract | INFO | Attempt 1 of 3 for movie ID 168259
2026-01-27 10:14:26 | extract | INFO | Successfully fetched: Furious 7
2026-01-27 10:14:26 | extract | INFO | Attempt 1 of 3 for movie ID 168259
2026-01-27 10:14:27 | extract | INFO | Fetching movie ID: 99861
2026-01-27 10:14:27 | extract | INFO | Attempt 1 of 3 for movie ID 99861
2026-01-27 10:14:28 | extract | INFO | Successfully fetched: Avengers: Age of Ultron
2026-01-27 10:14:28 | extract | INFO | Attempt 1 of 3 for movie ID 99861
2026-01-27 10:14:29 | extract | INFO | Fetching movie ID: 284054
2026-01-27 10:14:29 | extract | INFO | Attempt 1 of 3 for movie ID 284054
2026-01-27 10:14:30 | extract | INFO | Successfully fetched: Black Panther
2026-01-27 10:14:30 | extract | INFO | Attempt 1 of 3 for movie ID 284054
2026-01-27 10:14:31 | extract | INFO | Fetching movie ID: 12445
2026-01-27 10:14:31 | extract | INFO | Attempt 1 of 3 for movie ID 12445
2026-01-27 10:14:32 | extract | INFO | Successfully fetched: Harry Potter and the Deathly Hallows: Part 2
2026-01-27 10:14:32 | extract | INFO | Attempt 1 of 3 for movie ID 12445
2026-01-27 10:14:34 | extract | INFO | Fetching movie ID: 181808
2026-01-27 10:14:34 | extract | INFO | Attempt 1 of 3 for movie ID 181808
2026-01-27 10:14:35 | extract | INFO | Successfully fetched: Star Wars: The Last Jedi
2026-01-27 10:14:35 | extract | INFO | Attempt 1 of 3 for movie ID 181808
2026-01-27 10:14:36 | extract | INFO | Fetching movie ID: 330457
2026-01-27 10:14:36 | extract | INFO | Attempt 1 of 3 for movie ID 330457
2026-01-27 10:14:37 | extract | INFO | Successfully fetched: Frozen II
2026-01-27 10:14:37 | extract | INFO | Attempt 1 of 3 for movie ID 330457
2026-01-27 10:14:38 | extract | INFO | Fetching movie ID: 351286
2026-01-27 10:14:38 | extract | INFO | Attempt 1 of 3 for movie ID 351286
2026-01-27 10:14:39 | extract | INFO | Successfully fetched: Jurassic World: Fallen Kingdom
2026-01-27 10:14:39 | extract | INFO | Attempt 1 of 3 for movie ID 351286
2026-01-27 10:14:40 | extract | INFO | Fetching movie ID: 109445
2026-01-27 10:14:40 | extract | INFO | Attempt 1 of 3 for movie ID 109445
2026-01-27 10:14:41 | extract | INFO | Successfully fetched: Frozen
2026-01-27 10:14:41 | extract | INFO | Attempt 1 of 3 for movie ID 109445
2026-01-27 10:14:43 | extract | INFO | Fetching movie ID: 321612
2026-01-27 10:14:43 | extract | INFO | Attempt 1 of 3 for movie ID 321612
2026-01-27 10:14:44 | extract | INFO | Successfully fetched: Beauty and the Beast
2026-01-27 10:14:44 | extract | INFO | Attempt 1 of 3 for movie ID 321612
2026-01-27 10:14:45 | extract | INFO | Fetching movie ID: 260513
2026-01-27 10:14:45 | extract | INFO | Attempt 1 of 3 for movie ID 260513
2026-01-27 10:14:46 | extract | INFO | Successfully fetched: Incredibles 2
2026-01-27 10:14:46 | extract | INFO | Attempt 1 of 3 for movie ID 260513
2026-01-27 10:14:47 | extract | INFO | Extraction complete: 18 succeeded, 1 failed
