2026-01-27 10:14:47 | transform | INFO | Starting data cleaning. Input: 18 rows, 30 columns
2026-01-27 10:14:47 | transform | INFO | Step 1: Dropping irrelevant columns...
2026-01-27 10:14:47 | transform | INFO |   Dropped 5 columns: ['adult', 'imdb_id', 'original_title', 'video', 'homepage']
2026-01-27 10:14:47 | transform | INFO | Step 2: Parsing JSON-like columns...
2026-01-27 10:14:47 | transform | INFO |   Parsed belongs_to_collection
2026-01-27 10:14:47 | transform | INFO |   Parsed genres
2026-01-27 10:14:47 | transform | INFO |   Parsed spoken_languages
2026-01-27 10:14:47 | transform | INFO |   Parsed production_countries
2026-01-27 10:14:47 | transform | INFO |   Parsed production_companies
2026-01-27 10:14:47 | transform | INFO | Step 3: Converting data types...
2026-01-27 10:14:47 | transform | INFO |   Converted 7 columns to numeric
2026-01-27 10:14:47 | transform | INFO |   Converted release_date to datetime
2026-01-27 10:14:47 | transform | INFO | Step 4: Handling missing and incorrect data...
2026-01-27 10:14:47 | transform | INFO |   Replaced 0 zero values in budget with NaN
2026-01-27 10:14:47 | transform | INFO |   Replaced 0 zero values in revenue with NaN
2026-01-27 10:14:47 | transform | INFO |   Replaced 0 zero values in runtime with NaN
2026-01-27 10:14:47 | transform | INFO |   Created budget_musd and revenue_musd columns
2026-01-27 10:14:47 | transform | INFO | Step 5: Removing duplicates and invalid rows...
2026-01-27 10:14:47 | transform | INFO |   Removed 0 duplicate rows
2026-01-27 10:14:47 | transform | INFO |   Removed 0 rows with missing id or title
2026-01-27 10:14:47 | transform | INFO |   Removed 0 rows with less than 10 non-null values
2026-01-27 10:14:47 | transform | INFO | Step 6: Filtering released movies...
2026-01-27 10:14:47 | transform | INFO |   Kept 18 released movies (removed 0)
2026-01-27 10:14:47 | transform | INFO | Step 7: Reordering columns...
2026-01-27 10:14:47 | transform | INFO | Cleaning complete. Output: 18 rows, 26 columns
2026-01-27 10:14:47 | transform | INFO | Cleaned data saved to: data/processed/movies_cleaned.csv
2026-01-27 10:14:47 | transform | INFO | Starting data enrichment. Input: 18 rows
2026-01-27 10:14:47 | transform | INFO |   Calculated profit for 18 movies
2026-01-27 10:14:47 | transform | INFO |   Calculated ROI for 18 movies
2026-01-27 10:14:47 | transform | INFO |   Extracted release_year and release_month
2026-01-27 10:14:47 | transform | INFO |   Created runtime_category column
2026-01-27 10:14:47 | transform | INFO |   Created is_franchise flag
2026-01-27 10:14:47 | transform | INFO |   Created vote_score (weighted rating) column
2026-01-27 10:14:47 | transform | INFO | Enrichment complete. Output: 18 rows, 33 columns
2026-01-27 10:14:47 | transform | INFO | Enriched data saved to: data/analytics/movies_final.csv
2026-01-27 10:23:46 | transform | INFO | Starting data cleaning. Input: 18 rows, 30 columns
2026-01-27 10:23:46 | transform | INFO | Step 1: Dropping irrelevant columns...
2026-01-27 10:23:46 | transform | INFO |   Dropped 5 columns: ['adult', 'imdb_id', 'original_title', 'video', 'homepage']
2026-01-27 10:23:46 | transform | INFO | Step 2: Parsing JSON-like columns...
2026-01-27 10:23:46 | transform | INFO |   Parsed belongs_to_collection
2026-01-27 10:23:46 | transform | INFO |   Parsed genres
2026-01-27 10:23:46 | transform | INFO |   Parsed spoken_languages
2026-01-27 10:23:46 | transform | INFO |   Parsed production_countries
2026-01-27 10:23:46 | transform | INFO |   Parsed production_companies
2026-01-27 10:23:46 | transform | INFO | Step 3: Converting data types...
2026-01-27 10:23:46 | transform | INFO |   Converted 7 columns to numeric
2026-01-27 10:23:46 | transform | INFO |   Converted release_date to datetime
2026-01-27 10:23:46 | transform | INFO | Step 4: Handling missing and incorrect data...
2026-01-27 10:23:46 | transform | INFO |   Replaced 0 zero values in budget with NaN
2026-01-27 10:23:46 | transform | INFO |   Replaced 0 zero values in revenue with NaN
2026-01-27 10:23:46 | transform | INFO |   Replaced 0 zero values in runtime with NaN
2026-01-27 10:23:46 | transform | INFO |   Created budget_musd and revenue_musd columns
2026-01-27 10:23:46 | transform | INFO | Step 5: Removing duplicates and invalid rows...
2026-01-27 10:23:46 | transform | INFO |   Removed 0 duplicate rows
2026-01-27 10:23:46 | transform | INFO |   Removed 0 rows with missing id or title
2026-01-27 10:23:46 | transform | INFO |   Removed 0 rows with less than 10 non-null values
2026-01-27 10:23:46 | transform | INFO | Step 6: Filtering released movies...
2026-01-27 10:23:46 | transform | INFO |   Kept 18 released movies (removed 0)
2026-01-27 10:23:46 | transform | INFO | Step 7: Reordering columns...
2026-01-27 10:23:46 | transform | INFO | Cleaning complete. Output: 18 rows, 26 columns
2026-01-27 10:23:51 | transform | INFO | Starting data enrichment. Input: 18 rows
2026-01-27 10:23:51 | transform | INFO |   Calculated profit for 18 movies
2026-01-27 10:23:51 | transform | INFO |   Calculated ROI for 18 movies
2026-01-27 10:23:51 | transform | INFO |   Extracted release_year and release_month
2026-01-27 10:23:51 | transform | INFO |   Created runtime_category column
2026-01-27 10:23:51 | transform | INFO |   Created is_franchise flag
2026-01-27 10:23:51 | transform | INFO |   Created vote_score (weighted rating) column
2026-01-27 10:23:51 | transform | INFO | Enrichment complete. Output: 18 rows, 33 columns
